year;object_level;object_name;okato;oktmo;subsidies_for_equalizing;subventions;other_transfers;indicator_unit
2020;регион;Чукотский автономный округ;77000000;77000000;12364176.9;19705224.9;8194862.2;тысяча рублей
2020;федеральный округ;Приволжский федеральный округ;00000000;00000000;89530456.2;579247495.2;135634595.8;тысяча рублей
2020;регион;Кировская область;33000000;33000000;12659146.0;34443593.4;6884770.0;тысяча рублей
2020;регион;Нижегородская область;22000000;22000000;3784242.7;59265483.6;13566857.0;тысяча рублей
2020;регион;Оренбургская область;53000000;53000000;5027253.2;38767695.4;10963317.8;тысяча рублей
2020;регион;Пензенская область;56000000;56000000;8014880.6;29409667.2;11016884.6;тысяча рублей
2020;регион;Пермский край;57000000;57000000;2535865.8;40739437.9;10040013.2;тысяча рублей
2020;регион;Республика Башкортостан;80000000;80000000;17172983.9;83857956.7;18163296.0;тысяча рублей
2020;регион;Республика Марий Эл;88000000;88000000;7225506.0;24429317.2;4884704.6;тысяча рублей
2020;регион;Республика Мордовия;89000000;89000000;3118099.0;21874333.4;5967183.4;тысяча рублей
2020;регион;Республика Татарстан;92000000;92000000;;56693837.8;13521012.4;тысяча рублей
2020;регион;Самарская область;36000000;36000000;;46200549.4;8516060.2;тысяча рублей
2020;регион;Саратовская область;63000000;63000000;9850447.8;52431584.0;11413211.6;тысяча рублей
2020;регион;Удмуртская Республика;94000000;94000000;4409777.8;30463737.0;8717801.0;тысяча рублей
2020;регион;Ульяновская область;73000000;73000000;3505908.3;24255365.7;5545200.8;тысяча рублей
2020;регион;Чувашская Республика;97000000;97000000;12226345.1;36414936.5;6434283.2;тысяча рублей
2020;федеральный округ;Северо-Западный федеральный округ;00000000;00000000;28167161.9;247118086.7;51621551.6;тысяча рублей
2020;регион;Архангельская область;11000000;11000000;9557096.6;37429133.6;7854469.4;тысяча рублей
2020;регион;Вологодская область;19000000;19000000;1495024.8;27028475.4;5802978.6;тысяча рублей
2020;регион;Санкт-Петербург;40000000;40000000;;36291842.6;5009710.0;тысяча рублей
2020;регион;Калининградская область;27000000;27000000;2741233.4;22277994.3;6108118.2;тысяча рублей
2020;регион;Ленинградская область;41000000;41000000;;20847547.8;2061302.2;тысяча рублей
2020;регион;Мурманская область;47000000;47000000;14943.8;17283119.8;5725757.8;тысяча рублей
2020;регион;Ненецкий автономный округ;11100000;11800000;;1780506.0;299206.4;тысяча рублей
2020;регион;Новгородская область;49000000;49000000;1653477.6;17501325.8;2912803.4;тысяча рублей
2020;регион;Псковская область;58000000;58000000;4684648.7;22739965.4;4117672.4;тысяча рублей
2020;регион;Республика Карелия;86000000;86000000;7709643.6;26740917.2;9262073.8;тысяча рублей
2020;регион;Республика Коми;87000000;87000000;311093.4;17197258.8;2467459.4;тысяча рублей
2020;федеральный округ;Северо-Кавказский федеральный округ;00000000;00000000;176427716.0;436859523.4;45795886.8;тысяча рублей
2020;регион;Кабардино-Балкарская Республика;83000000;83000000;14023197.7;41079059.3;3873694.8;тысяча рублей
2020;регион;Карачаево-Черкесская Республика;91000000;91000000;10061698.4;29608017.9;2307719.2;тысяча рублей
2020;регион;Республика Дагестан;82000000;82000000;72892420.5;132497477.3;13190557.4;тысяча рублей
2020;регион;Республика Ингушетия;26000000;26000000;11181480.2;36690090.7;2185022.0;тысяча рублей
2020;регион;Республика Северная Осетия — Алания;90000000;90000000;10492847.0;31182372.0;3809332.0;тысяча рублей
2020;регион;Ставропольский край;07000000;07000000;24291427.8;70916297.8;12362777.0;тысяча рублей
2020;регион;Чеченская Республика;96000000;96000000;33484644.4;94886208.4;8066784.4;тысяча рублей
2020;федеральный округ;Сибирский федеральный округ;00000000;00000000;87093303.8;431752681.5;98158984.0;тысяча рублей
2020;регион;Алтайский край;01000000;01000000;29521598.3;74769731.5;13368295.0;тысяча рублей
2020;регион;Иркутская область;25000000;25000000;1927197.6;57007011.8;13303068.0;тысяча рублей
2020;регион;Кемеровская область;32000000;32000000;3476915.8;45455324.4;14588024.8;тысяча рублей
2020;регион;Красноярский край;04000000;04000000;906719.4;47514463.6;10709630.2;тысяча рублей
2020;регион;Новосибирская область;50000000;50000000;6404851.5;60476713.1;11822012.2;тысяча рублей
2020;регион;Омская область;52000000;52000000;8135492.4;46210418.3;14989860.6;тысяча рублей
2020;регион;Республика Алтай;84000000;84000000;9374943.9;20706653.2;2566295.4;тысяча рублей
2020;регион;Республика Тыва;93000000;93000000;18625857.6;34713781.2;4336831.4;тысяча рублей
2020;регион;Республика Хакасия;95000000;95000000;3464381.2;18305904.7;3958229.4;тысяча рублей
2020;регион;Томская область;69000000;69000000;5255346.1;26592679.7;8516737.0;тысяча рублей
2020;федеральный округ;Уральский федеральный округ;00000000;00000000;20191137.8;177679848.8;46052727.6;тысяча рублей
2020;регион;Курганская область;37000000;37000000;13249667.9;34238135.3;5243860.8;тысяча рублей
2020;регион;Свердловская область;65000000;65000000;;57961335.4;10109188.4;тысяча рублей
2020;регион;Тюменская область;71000000;71000000;;14056540.0;4099552.8;тысяча рублей
2020;регион;Ханты-Мансийский автономный округ — Югра;71100000;71800000;;15996956.8;4601893.8;тысяча рублей
2020;регион;Челябинская область;75000000;75000000;6941469.9;51249539.1;21269282.4;тысяча рублей
2020;регион;Ямало-Ненецкий автономный округ;71140000;71900000;;4177342.2;728949.4;тысяча рублей
2020;федеральный округ;Центральный федеральный округ;00000000;00000000;79626635.5;598000925.3;140670212.6;тысяча рублей
2020;регион;Белгородская область;14000000;14000000;996957.0;31492469.6;7343477.8;тысяча рублей
2020;регион;Брянская область;15000000;15000000;13382003.4;40564714.5;22793918.4;тысяча рублей
