Region,Year,male_pop1559,male_pop1549,ExcessByAge,TotalExcess_15_49,TotalExcess_15_59,ex_per100k_1549,ex_per100k_1559,Excessive Marriages,ex_nup_per100k
Кемеровская область,2022,728361.0,589823.0,"[np.float64(19.939899159662218), np.float64(13.755555555556384), np.float64(56.30568683684737), np.float64(12.322739095487918), np.float64(148.04918979594345), np.float64(130.0713735678537), np.float64(-39.782210695657795), np.float64(134.14817484184152), np.float64(165.95720585510026)]",340.66223331569324,640.767614012635,57.75668858550671,87.97390497468083,3031.2,513.9168869304858
Кемеровская область,2023,721103.0,584329.0,"[np.float64(24.832873949579152), np.float64(21.973333333333358), np.float64(78.12698956126542), np.float64(10.569618479374071), np.float64(193.99903342536936), np.float64(155.65270313930307), np.float64(-32.305090366827244), np.float64(153.0970893606393), np.float64(192.11043858300968)]",452.8494615213972,798.0569894650462,77.49905644275694,110.67170563221151,3031.2,518.748855524884
Кировская область,2022,311517.0,242943.0,"[np.float64(-4.744755244754742), np.float64(10.028225108225229), np.float64(4.870309582310483), np.float64(-5.809491716446928), np.float64(-125.40842417396283), np.float64(107.23048332183794), np.float64(7.77791785880305), np.float64(-7.4867775685332845), np.float64(-143.92115229255592)]",-6.055735263987799,-157.463665125077,-2.4926568223771826,-50.54737466176067,720.2,296.44813804061033
Кировская область,2023,307151.0,240289.0,"[np.float64(-2.8854895104890375), np.float64(18.555454545453813), np.float64(9.395341523341244), np.float64(-7.331735364639314), np.float64(-141.39483868392466), np.float64(118.8720610027442), np.float64(17.52154256512506), np.float64(-7.6434290350099445), np.float64(-162.9232700850264)]",12.732336077611308,-157.83436304242503,5.2987594428422895,-51.386569811729416,720.2,299.7224175888201
Костромская область,2022,154547.0,120179.0,"[np.float64(11.857777777777756), np.float64(-4.16952380952398), np.float64(-0.013053879759354459), np.float64(45.642124542124975), np.float64(-30.13807681679978), np.float64(-44.30412782839983), np.float64(34.190774069813244), np.float64(86.19564010573936), np.float64(31.93743682478106)]",13.06589405523303,131.19897098575345,10.87202760485029,84.89260288828217,556.8,463.30889756113794
Костромская область,2023,152056.0,118831.0,"[np.float64(13.168888888888887), np.float64(-2.379047619047469), np.float64(5.6163927605568915), np.float64(51.43256410256447), np.float64(-28.396193699917177), np.float64(-52.2808127078855), np.float64(39.079617951669036), np.float64(101.13130506009566), np.float64(34.035833104899325)]",26.241409676829136,161.40854784182412,22.082966294005047,106.15072594427325,556.8,468.5646001464264
Краснодарский край,2022,1683327.0,1346803.0,"[np.float64(20.266870318211687), np.float64(149.53160358039509), np.float64(29.629106148595383), np.float64(29.908076254542493), np.float64(-129.4672279055983), np.float64(-120.39995798390146), np.float64(225.8428480379307), np.float64(32.725601743301695), np.float64(-142.94339416955972)]",205.3113184501756,95.09352602391758,15.244346682489985,5.649141612052654,3676.0,272.9426649628787
Краснодарский край,2023,1673002.0,1337907.0,"[np.float64(26.3950152813575), np.float64(171.97890750460692), np.float64(34.90058433573722), np.float64(45.968502321293045), np.float64(-134.9947303630954), np.float64(-147.33318670236395), np.float64(268.7286367053389), np.float64(27.021594786748437), np.float64(-187.2703385595746)]",265.6437290828742,105.39498531004801,19.85517147924887,6.299752499402153,3676.0,274.75751304089147
Красноярский край,2022,830975.0,676074.0,"[np.float64(-37.31722170106514), np.float64(-123.08283668265722), np.float64(-108.71138433230749), np.float64(-38.34508721611007), np.float64(83.95621524258627), np.float64(-230.14634691889614), np.float64(-132.32399189960552), np.float64(-247.67218242540525), np.float64(-342.2760784483403)]",-585.9706535080553,-1175.9189143818007,-86.67256151073038,-141.51074513454685,2503.2,370.25532707958
Красноярский край,2023,823610.0,670096.0,"[np.float64(-45.33219534530531), np.float64(-132.5790041296559), np.float64(-116.0720681732081), np.float64(-49.18616813303606), np.float64(96.71474988559191), np.float64(-243.66281013070306), np.float64(-138.80605989329092), np.float64(-273.55675083731194), np.float64(-378.24663738685376)]",-628.9235559196075,-1280.7269441437732,-93.85573946413759,-155.5016262726015,2503.2,373.5584155106134
Курганская область,2022,201085.0,154990.0,"[np.float64(-3.568671328671442), np.float64(11.420857142856903), np.float64(-2.715262026939911), np.float64(35.63522258620878), np.float64(56.14290012684717), np.float64(79.98818619713447), np.float64(-54.401705940161946), np.float64(-88.88465901248128), np.float64(21.71838674827461)]",122.50152675727401,55.33525449306734,79.03834231710046,27.518340250673766,606.8,391.50912962126586
Курганская область,2023,196510.0,152236.0,"[np.float64(-3.8774825174825764), np.float64(14.535440476190729), np.float64(-4.426994303622337), np.float64(38.699733909382076), np.float64(70.70598972428274), np.float64(89.48056167509083), np.float64(-59.10254079813211), np.float64(-105.2528496141565), np.float64(17.102405857673148)]",146.01470816570935,57.864264409225996,95.91338984583761,29.44596428132207,606.8,398.5916603168764
