,Region,year,total,drafted,pmc,volunteers,prisoners,contract,slavic,non_slavic,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs,Excessive Marriages,ex_nup_per100k
115,Липецкая область,2022,156,47,0,15,16,47,149,7,111340.03,2506.1601,0.2542564650504719,2.2509066146290784,1138100.0,0.6304366927335032,58.9,3.7,31756.8,32431.0,38926.0,7.2,96.68,97.14,604.4000000000001,240.0374909648364
116,Липецкая область,2023,276,47,14,71,88,29,262,14,136106.45,2710.9874,0.2304931060305353,1.9918140543670044,1126300.0,0.6298499511675397,,,,,,,96.68,97.14,604.4000000000001,240.0374909648364
117,Липецкая область,2024,288,51,0,115,1,32,278,10,100685.65,345.7333,0.0345644281907526,0.343378922418438,,,,,,,,,96.68,97.14,604.4000000000001,240.0374909648364
118,Магаданская область,2022,49,23,0,8,0,18,45,4,53905.97,5192.5218,0.526794851440462,9.632554242136816,135900.0,0.963944076526858,34.4,4.1,70976.5,45948.0,94060.0,7.4,87.71,90.68,172.8,496.038580778505
119,Магаданская область,2023,89,21,3,8,37,1,85,4,63336.36,6104.9978,0.5190580764896159,9.639009567332256,134300.0,0.9650037230081904,,,,,,,87.71,90.68,172.8,496.038580778505
120,Магаданская область,2024,30,4,1,7,11,7,27,3,54068.91,5092.3536,0.5091042440202344,9.418265690948829,,,,,,,,,87.71,90.68,172.8,496.038580778505
121,Магаданская область,2025,24,0,0,14,2,0,21,3,,,,,,,,,,,,,,,172.8,496.038580778505
122,Москва,2022,223,32,32,35,39,60,206,17,3671520.5,5458.6213,0.553791338305646,0.1486746785153453,13015100.0,1.0,34.2,2.2,73458.6,65722.0,95465.0,5.0,90.21,90.97,9116.600000000002,302.82415763889776
123,Москва,2023,647,131,23,138,77,58,592,55,4228414.08,6205.6862,0.5276187883753461,0.146761553683976,13104200.0,1.0,,,,,,,90.21,90.97,9116.600000000002,302.82415763889776
124,Москва,2024,369,31,0,141,17,91,339,30,3577470.85,,,,,,,,,,,,90.21,90.97,9116.600000000002,302.82415763889776
