,year,Region,reg_inc,other_transfers,share_of_total,share_of_income,population,urban_share,disability_per10k,uneployment,median_income,consumption,av_income,share_poverty,% Russians,% Slavs
37,2019,Оренбургская область,118742.09,14197.2215,1.8049559040056986,11.956351366225743,1909900.0,0.5938007225509189,63.9,4.4,19343.7,19891.0,24497.0,14.3,79.29,80.37
38,2019,Орловская область,41378.38,4521.381,0.5748232730051572,10.926916423504258,736500.0,0.6678886625933469,45.9,5.3,20991.4,21415.0,26184.0,13.6,95.34,95.93
39,2019,Пензенская область,67584.47,17164.745,2.1822303630680335,25.39746927067712,1308100.0,0.6836633284917055,69.8,4.3,18782.5,19504.0,22990.0,13.6,87.57,87.92
40,2019,Пермский край,183945.16999999998,11728.6176,1.4911113123751112,6.376148718664372,2589200.0,0.7581878572532056,56.7,5.2,23327.7,25396.0,30618.0,13.8,89.41,89.77
41,2019,Приморский край,162901.1,10885.8822,1.3839706133485725,6.682509940080209,1886300.0,0.7800455918994859,45.3,5.2,28691.0,30410.0,36884.0,13.5,94.42,95.29
42,2019,Псковская область,41049.07,7564.4499000000005,0.9617021547181127,18.427822847143677,617500.0,0.7070445344129554,68.0,5.1,20791.3,21786.0,25525.0,16.2,95.78,96.97
43,2019,Республика Адыгея,28275.980000000003,2813.154,0.35764877804979284,9.948917774025869,476600.0,0.49937054133445236,51.5,8.2,22010.0,23903.0,29139.0,12.6,64.43,65.18
44,2019,Республика Алтай,25098.05,3346.0567,0.4253990681065886,13.331938935494989,210900.0,0.3053579895685159,47.7,11.0,16158.8,14948.0,20256.0,24.3,53.7,53.98
45,2019,Республика Башкортостан,239425.33000000002,19818.4594,2.5196088757456683,8.277511573232456,4118000.0,0.6161000485672656,56.3,4.4,23018.4,26459.0,30603.0,12.1,37.49,37.96
46,2019,Республика Бурятия,80093.44,6671.1111,0.8481280204174422,8.329160415634538,979500.0,0.5919346605410923,69.4,9.2,20105.3,22014.0,25302.0,20.1,63.95,64.22
47,2019,Республика Дагестан,134787.22,10854.5018,1.3799810835486708,8.053064526443976,3113000.0,0.4527465467394796,46.3,13.0,21055.0,23748.0,27410.0,14.6,3.26,3.28
48,2019,Республика Ингушетия,26715.73,2095.7108,0.266437033580726,7.844482632516499,488200.0,0.5153625563293732,56.9,26.4,13838.2,9787.0,16614.0,30.5,0.67,0.68
49,2019,Республика Калмыкия,18113.96,3194.9642000000003,0.4061900066767884,17.63813213676082,271700.0,0.45822598454177405,61.7,9.2,15359.9,11296.0,18508.0,23.5,25.71,26.01
50,2019,Республика Карелия,58543.54,14690.9504,1.8677258546635254,25.094058883354165,559400.0,0.7904898105112621,77.2,7.4,25476.4,25738.0,30854.0,15.7,86.4,89.57
51,2019,Республика Коми,99128.47,5508.2977,0.7002943818715521,5.5567262361660585,779100.0,0.7761519702220511,54.6,6.8,27813.1,24712.0,35428.0,15.5,69.69,72.08
52,2019,Республика Марий Эл,36792.479999999996,7277.3026,0.9251958415318109,19.779320665527305,683900.0,0.6702734317882731,54.7,4.6,16728.1,15994.0,20877.0,20.1,52.51,52.82
53,2019,Республика Мордовия,46741.31,7451.7481,0.9473738737018539,15.94253156362113,803300.0,0.6297771691771443,56.2,4.2,16192.1,15026.0,19748.0,18.0,54.09,54.32
54,2019,Якутия,249010.52,12869.636199999999,1.6361740810760375,5.168310238459002,971400.0,0.6594605723697756,51.5,6.9,34353.2,34835.0,45528.0,17.8,32.63,33.58
55,2019,Северная Осетия,38512.77,3803.6482,0.4835747104002462,9.876329851111723,697800.0,0.6358555460017197,57.6,12.1,19632.9,19242.0,24522.0,13.8,18.91,19.08
56,2019,Республика Татарстан,337044.28,11526.3074,1.4653907169804015,3.4198199120898884,3981900.0,0.7683769054973756,53.1,3.3,27304.6,30133.0,35733.0,6.9,40.34,40.64
57,2019,Республика Тыва,33703.58,3475.683,0.44187903607070145,10.312503894245062,326900.0,0.5451208320587335,59.1,12.3,13655.0,11058.0,16618.0,34.1,10.12,10.16
58,2019,Республика Хакасия,37092.83,3747.7676,0.47647036122252984,10.10375212675873,539700.0,0.6850101908467666,47.7,6.0,18760.1,20455.0,22691.0,19.0,82.14,82.68
59,2019,Ростовская область,221356.14,20317.6105,2.5830681748018915,9.178697505296215,4230600.0,0.6802581194156857,47.6,4.8,23488.6,26881.0,30866.0,13.3,91.69,92.47
60,2019,Рязанская область,71127.36,9508.9984,1.2089212528846396,13.368974189397722,1123800.0,0.7157857269976864,68.8,3.9,21490.9,21193.0,26886.0,12.7,94.57,95.08
61,2019,Самарская область,213871.86,11864.2515,1.5083550532428802,5.547364435882309,3206800.0,0.7978982162903828,46.1,3.9,23089.6,25127.0,29422.0,12.9,89.61,90.2
62,2019,Санкт-Петербург,649006.05,3288.874,0.4181291771654642,0.5067555225409686,5546400.0,1.0,41.2,1.4,35803.9,39276.0,47472.0,6.4,90.63,91.58
63,2019,Саратовская область,121262.02,14639.4824,1.8611824989465378,12.072603111839966,2490800.0,0.7656174722980568,49.2,4.3,18189.2,18517.0,22760.0,15.5,89.7,90.38
64,2019,Сахалинская область,205332.25,1617.2005,0.20560189121765607,0.7876018014705435,476200.0,0.8206635867282654,42.8,5.2,43604.5,45884.0,59016.0,8.2,91.2,92.24
65,2019,Свердловская область,313423.48,10892.9334,1.3848670637610936,3.475468206785273,4315200.0,0.8538422321097516,60.1,4.2,29510.8,33459.0,39095.0,8.9,92.32,92.77
66,2019,Смоленская область,53997.72,8397.394699999999,1.067598131228083,15.551387540066505,925700.0,0.7231284433401749,61.7,5.2,21538.5,22125.0,27485.0,16.3,94.71,96.01
67,2019,Ставропольский край,138817.83000000002,11208.8831,1.4250351541429915,8.074526953778198,2884900.0,0.5956878921279767,41.1,4.8,19312.7,22867.0,24393.0,14.0,82.9,83.34
68,2019,Тамбовская область,54575.51,9230.7528,1.173546652404989,16.91372705449752,1015300.0,0.6006106569486851,68.6,3.9,22403.5,23179.0,28154.0,10.7,95.61,95.97
69,2019,Тверская область,80161.79,10288.5804,1.3080329793274912,12.83476878447949,1266600.0,0.7600663192799622,58.1,4.0,22438.2,21611.0,27212.0,11.7,94.16,94.91
70,2019,Томская область,79919.24,11816.1713,1.5022424036053597,14.785139723550925,1073400.0,0.7192099869573317,41.2,5.5,22824.9,22082.0,28381.0,14.8,93.38,94.04
71,2019,Тульская область,100697.62,7644.8724,0.9719266247800821,7.591909719415415,1525800.0,0.7497706121378949,61.2,3.8,23397.8,23946.0,28561.0,10.3,94.1,94.62
72,2019,Тюменская область,241192.45,3551.4442000000004,0.4515108943349792,1.4724524751914914,3738500.0,0.8029423565601177,39.6,3.0,35392.9,34063.0,48933.0,11.9,76.41,79.08
73,2019,Удмуртская Республика,94416.37,14294.1376,1.81727727878232,15.139469564440997,1481300.0,0.654965233241072,49.1,4.3,20408.7,19731.0,25066.0,12.4,67.71,68.09
74,2019,Ульяновская область,69374.18,6507.3583,0.827309398748585,9.380086798863786,1229400.0,0.7587441028143809,57.6,3.8,19258.1,19221.0,23710.0,15.5,77.49,77.96
75,2019,Хабаровский край,132729.46,8896.830800000002,1.1310936636016944,6.702981237172216,1316700.0,0.8311688311688312,42.2,3.8,32407.9,35214.0,41460.0,12.2,92.86,93.61
76,2019,Ханты-Мансийский АО,0.0,5100.696400000001,0.6484742160091405,inf,1672300.0,0.9195120492734558,36.6,2.5,40746.5,35017.0,53493.0,8.9,70.3,74.08
77,2019,Челябинская область,215264.29,20107.9566,2.5564139421689203,9.341055406821077,3477900.0,0.8268782886224446,57.2,5.1,20815.1,19508.0,25432.0,12.8,86.34,87.08
78,2019,Чеченская Республика,97634.93,7100.490400000001,0.9027169202661087,7.272489876317831,1456400.0,0.3721505081021697,80.0,13.5,19090.6,16838.0,24153.0,20.7,1.21,1.22
79,2019,Чувашская Республика,66684.9,7020.917,0.8926004000630671,10.528495956355938,1212500.0,0.6287835051546392,55.5,4.7,16659.9,16463.0,20162.0,17.4,30.7,30.96
80,2019,Чукотский АО,56648.86,16861.5642,2.143685639726134,29.76505476014875,48100.0,0.683991683991684,50.5,3.8,62682.5,31846.0,83385.0,8.5,54.21,57.81
81,2019,Ямало-Hенецкий АО,0.0,704.311,0.0895421894844817,inf,510600.0,0.8470426948687818,26.5,1.9,60280.4,36906.0,84273.0,5.5,62.89,67.99
82,2019,Ярославская область,82011.39,8592.3613,1.092385102097976,10.477034104653026,1243800.0,0.8148416144074611,45.8,5.4,23190.2,23029.0,28667.0,10.3,96.52,97.04
83,2020,Алтайский край,154273.08,13368.295,1.912966294738179,8.665345243641989,2224100.0,0.5756036149453712,54.0,5.9,19167.6,17726.0,23917.0,17.5,95.45,96.08
84,2020,Амурская область,105151.34,9539.4492,1.3650689777542375,9.072113774299025,782700.0,0.6788041395170562,41.5,6.0,27400.4,27306.0,35508.0,15.2,95.17,95.95
85,2020,Архангельская область,113301.39,7854.4694,1.1239529966426092,6.932368084804608,1055500.0,0.7726196115585031,63.4,7.4,29407.4,28936.0,36785.0,12.8,96.23,97.06
86,2020,Астраханская область,64462.64,4646.0352,0.6648348754846564,7.207330013167318,979900.0,0.6506786406776202,39.8,7.9,20511.9,20617.0,25206.0,15.6,67.1,67.57
87,2020,Белгородская область,133464.02,7343.4778,1.0508315022639816,5.502215353621148,1553000.0,0.6551191242755956,52.1,4.9,25874.7,26516.0,32884.0,7.2,95.29,96.57
88,2020,Брянская область,85935.0,22793.9184,3.261747113166817,26.524603944842028,1189200.0,0.6957618567103935,66.2,4.0,22919.0,23805.0,28636.0,13.6,95.87,96.56
89,2020,Владимирская область,90131.84,6661.567400000001,0.9532519970816506,7.3909146867522075,1373700.0,0.7778991046079929,55.8,5.6,21662.8,20687.0,25955.0,12.5,95.76,96.22
90,2020,Волгоградская область,152467.75,12815.8114,1.8339074091289365,8.40558832933522,2526200.0,0.7715541128968412,45.8,7.6,20587.6,20509.0,24995.0,11.9,92.52,92.97
91,2020,Вологодская область,114790.71,5802.9785999999995,0.8303902981559687,5.055268496901882,1159600.0,0.7236978268368403,50.0,6.1,24016.0,22025.0,29682.0,12.8,96.71,97.17
92,2020,Воронежская область,168139.48,14243.8436,2.0382548944590257,8.471445016958539,2336300.0,0.6827890253820142,57.3,4.3,24702.8,27134.0,32102.0,8.5,95.64,96.31
93,2020,Еврейская АО,21032.420000000002,1876.6571999999999,0.2685444905560302,8.922687926543878,154700.0,0.7084680025856497,63.4,6.3,23599.8,21084.0,28126.0,23.6,95.67,96.72
94,2020,Забайкальский край,96628.75,13935.684,1.9941581021455708,14.421881686351112,1025099.9999999999,0.6876402302214418,51.3,9.8,22085.8,19465.0,27048.0,20.9,89.22,89.47
95,2020,Ивановская область,66837.97,4843.740400000001,0.6931259465520192,7.2469890991602535,953600.0,0.8175335570469798,69.9,5.4,21397.1,20065.0,26284.0,13.7,95.98,96.39
96,2020,Иркутская область,241413.72,13303.068,1.903632490202381,5.51048548524914,2396400.0,0.779043565348022,57.2,7.7,22244.3,19416.0,27577.0,17.6,92.21,92.78
97,2020,Кабардино-Балкария,55722.57,3873.6947999999998,0.554315085693617,6.951751866434014,897400.0,0.5219523066636951,33.1,14.8,18194.4,17123.0,22016.0,24.2,19.84,20.03
98,2020,Калининградская область,140104.61,6108.1182,0.8740549367646986,4.359683953297468,1015300.0,0.7693292622870088,37.3,5.9,24079.6,22645.0,29621.0,13.5,91.3,93.99
99,2020,Калужская область,93722.44,3816.1862,0.5460857629970741,4.07179561266224,1052200.0,0.752138376734461,59.2,4.7,26281.9,24800.0,32559.0,9.7,90.35,91.44
100,2020,Камчатский край,105740.05,10084.877199999999,1.4431182263836593,9.53742427774528,296400.0,0.7769905533063429,35.7,3.8,43838.6,33733.0,55381.0,14.6,88.3,90.01
101,2020,Карачаево-Черкесия,34587.6,2307.7192,0.33022827872366334,6.67209982768391,470400.0,0.41539115646258506,54.3,14.7,15937.0,11739.0,19101.0,23.2,27.55,27.75
102,2020,Кемеровская область,201174.07,14588.024800000001,2.08750627878908,7.25144388638158,2647700.0,0.864184008762322,47.6,6.7,20988.6,18800.0,25441.0,13.2,95.28,95.66
